"word","cefr_level","total_frequency"
"the","A1","93354873907"
"of","A1","56714371798"
"and","A1","41046370216"
"to","A1","34424370945"
"in","A1","30227445439"
"a","A1","26251832128"
"is","A1","14623642934"
"that","A1","13816115719"
"for","A1","13530602566"
"as","A1","9617641572"
"it","A1","9013257300"
"with","A1","9005959689"
"be","A1","8954883980"
"on","A1","8907343739"
"by","A1","8896034030"
"was","A1","8622275068"
"not","A1","7815708030"
"or","A1","7207554851"
"this","A1","6932072376"
"are","A1","6761954411"
"i","A1","6692518866"
"at","A1","6231852603"
"from","A1","6221448966"
"he","A1","5678695326"
"which","A1","4981322830"
"an","A1","4889452079"
"have","A1","4829347270"
"his","A1","4675515003"
"but","A1","3998132472"
"you","A1","3973755323"
"were","A1","3609826559"
"we","A1","3542718764"
"they","A1","3512813108"
"had","A1","3492683794"
"all","A1","3318437992"
"has","A1","3215277231"
"one","A1","3182809966"
"their","A1","3032628217"
"been","A2","2903543028"
"will","A2","2815036425"
"can","A1","2737636178"
"there","A1","2674915829"
"other","A1","2629155980"
"if","A1","2615640671"
"would","A1","2533339252"
"her","A1","2470517316"
"may","A1","2428419593"
"when","A1","2313278400"
"its","A1","2249965561"
"no","A1","2208763856"
"these","A1","2208523166"
"new","A1","2197930489"
"she","A1","2190161966"
"such","A2","2186818313"
"who","A1","2133288380"
"than","A1","2048469532"
"any","A1","2040378738"
"time","A1","1992377062"
"do","A1","1945827992"
"what","A1","1869923431"
"some","A1","1857349526"
"also","A1","1846787835"
"about","A1","1834696397"
"only","A1","1811073005"
"into","A1","1780174081"
"out","A1","1779814446"
"two","A1","1760721766"
"my","A1","1648535091"
"them","A1","1636431710"
"so","A2","1606516586"
"him","A1","1567761692"
"first","A1","1555695986"
"said","A2","1523708345"
"see","A1","1506494062"
"our","A1","1485318407"
"under","A1","1476107070"
"should","A1","1454459832"
"up","A1","1423438245"
"state","A2","1420538796"
"made","A2","1405817782"
"could","A1","1366511804"
"after","A1","1340940112"
"more","B1","1320799016"
"then","A1","1315721270"
"between","A1","1282564080"
"your","A1","1256234068"
"me","A1","1251278558"
"over","A1","1224257801"
"work","A1","1221997642"
"where","A1","1205542006"
"each","A1","1170513345"
"more","A1","1137723010"
"year","A1","1128683315"
"did","A1","1125975000"
"s","A1","1123382427"
"now","A1","1121530549"
"years","A1","1121028769"
"those","A1","1119625138"
"many","A1","1119108725"
"through","A1","1092574796"
"shall","A2","1085742827"
"like","A1","1085140895"
"well","A1","1079792494"
"same","A1","1064658104"
"must","A1","1061333372"
"very","A1","1043537617"
"because","A1","1043013421"
"used","A2","1041025141"
"before","A1","1020626348"
"people","A1","1011661010"
"general","B1","987349988"
"how","A1","981533225"
"being","A1","973925636"
"states","B1","966860143"
"part","A2","958525086"
"during","A2","947224271"
"even","A2","942613591"
"both","A1","928755486"
"number","A1","906108396"
"system","A2","889598254"
"much","A1","882221176"
"case","A1","880788719"
"per","B1","875365863"
"way","A1","870571835"
"three","A1","870550880"
"upon","A2","862553023"
"make","A1","856504742"
"section","A1","844168650"
"life","A1","843510564"
"however","A2","839303627"
"p","A1","834721615"
"government","A2","813754678"
"water","A1","801336741"
"day","A1","794909480"
"most","A2","788800087"
"high","A1","784885907"
"law","A2","777066290"
"just","A1","775770714"
"united","B2","768217283"
"man","A1","761109875"
"order","A1","760982595"
"act","A2","757074767"
"without","A2","753340314"
"world","A1","750751432"
"us","A1","749806061"
"does","A1","746652269"
"court","A2","745510495"
"good","A1","742588018"
"use","A2","740199237"
"while","A2","736120467"
"service","B1","730210365"
"great","A1","729864725"
"within","A2","723316797"
"national","A2","723034306"
"c","A1","721783068"
"information","A1","721279869"
"company","A2","714743021"
"here","A1","714424488"
"found","B2","707459906"
"against","A2","690054117"
"given","A2","679120199"
"own","A1","678380211"
"know","A1","676064435"
"development","B1","668460006"
"another","A1","666273891"
"power","A2","660908399"
"since","A2","659478319"
"back","A1","652120979"
"b","A1","650311453"
"data","B2","649807359"
"school","A1","649533727"
"university","A2","648596436"
"american","A1","647485901"
"take","A1","633471384"
"small","A1","631269734"
"total","B1","620374152"
"different","A1","615893003"
"large","A1","615007087"
"house","A1","614992397"
"research","A2","605988986"
"less","A2","604856640"
"york","A1","602665254"
"city","A1","596565200"
"might","A2","586781242"
"little","A1","583985615"
"business","A1","582380232"
"still","A2","581585780"
"men","A1","581211170"
"get","A1","578013838"
"every","A1","574359763"
"social","A1","571030738"
"so","A1","570629568"
"place","A1","569930018"
"committee","A2","564674164"
"too","A1","555024092"
"area","A2","553976941"
"group","A1","550587534"
"point","A1","549994687"
"department","B1","547334563"
"old","A1","546981689"
"children","A1","539199339"
"long","A1","538580107"
"think","A1","533138753"
"public","B1","531666006"
"important","A1","529703351"
"last","A2","529632333"
"fact","A2","526604311"
"value","A2","519932129"
"control","A2","517602428"
"table","A1","517276010"
"education","A2","517246574"
"come","A1","513280415"
"period","A1","509886546"
"report","A2","508776938"
"go","A1","504835705"
"program","A1","504124129"
"office","A1","504026100"
"war","A1","500552408"
"end","A1","499908421"
"interest","A2","492836184"
"second","A1","492310241"
"few","A2","489607989"
"study","A2","489308424"
"say","A1","489035384"
"health","A1","488277120"
"never","A1","487200953"
"thus","B1","486014473"
"means","B2","485569107"
"country","A2","484269534"
"services","B1","483842014"
"board","A1","482703323"
"form","A1","482015192"
"possible","A2","480433659"
"whether","B1","480010934"
"following","A2","479689834"
"until","A1","477629225"
"most","A1","476691337"
"again","A1","475657047"
"local","A2","474192187"
"action","A1","469707453"
"effect","A2","469677225"
"four","A1","469298047"
