external_id,front_image,back_text
0001,ao.svg,Angola
0002,bf.svg,Burkina Faso
0003,bi.svg,Burundi
0004,bj.svg,Benin
0005,bw.svg,Botswana
0006,cd.svg,Democratic Republic of the Congo
0007,cf.svg,Central African Republic
0008,cg.svg,Republic of the Congo
0009,ci.svg,Ivory Coast
0010,cm.svg,Cameroon
0011,cv.svg,Cape Verde
0012,dj.svg,Djibouti
0013,dz.svg,Algeria
0014,eg.svg,Egypt
0015,eh.svg,Western Sahara
0016,er.svg,Eritrea
0017,et.svg,Ethiopia
0018,ga.svg,Gabon
0019,gh.svg,Ghana
0020,gm.svg,Gambia
0021,gn.svg,Guinea
0022,gq.svg,Equatorial Guinea
0023,gw.svg,Guinea-Bissau
0024,ke.svg,Kenya
0025,km.svg,Comoros
0026,lr.svg,Liberia
0027,ls.svg,Lesotho
0028,ly.svg,Libya
0029,ma.svg,Morocco
0030,mg.svg,Madagascar
0031,ml.svg,Mali
0032,mr.svg,Mauritania
0033,mu.svg,Mauritius
0034,mw.svg,Malawi
0035,mz.svg,Mozambique
0036,na.svg,Namibia
0037,ne.svg,Niger
0038,ng.svg,Nigeria
0040,rw.svg,Rwanda
0041,sc.svg,Seychelles
0042,sd.svg,Sudan
0043,sl.svg,Sierra Leone
0044,sn.svg,Senegal
0045,so.svg,Somalia
0046,ss.svg,South Sudan
0047,st.svg,São Tomé and Príncipe
0048,sz.svg,Eswatini
0049,td.svg,Chad
0050,tg.svg,Togo
0051,tn.svg,Tunisia
0052,tz.svg,Tanzania
0053,ug.svg,Uganda
0055,za.svg,"South Africa, RSA, Republic of South Africa"
0056,zm.svg,Zambia
0057,zw.svg,Zimbabwe
