external_id,front_image,back_text
0001,ad.svg,Andorra
0002,al.svg,Albania
0003,at.svg,Austria
0004,ax.svg,Åland Islands
0005,ba.svg,Bosnia and Herzegovina
0006,be.svg,Belgium
0007,bg.svg,Bulgaria
0008,by.svg,Belarus
0009,ch.svg,Switzerland
0010,cy.svg,Cyprus
0011,cz.svg,Czechia
0012,de.svg,Germany
0013,dk.svg,Denmark
0014,ee.svg,Estonia
0015,es.svg,Spain
0016,eu.svg,European Union
0017,fi.svg,Finland
0018,fo.svg,Faroe Islands
0019,fr.svg,France
0020,gb-eng.svg,England
0021,gb-nir.svg,Northern Ireland
0022,gb-sct.svg,Scotland
0023,gb.svg,United Kingdom
0024,gb-wls.svg,Wales
0025,gr.svg,Greece
0026,hr.svg,Croatia
0027,hu.svg,Hungary
0028,ie.svg,Ireland
0029,is.svg,Iceland
0030,it.svg,Italy
0031,li.svg,Liechtenstein
0032,lt.svg,Lithuania
0033,lu.svg,Luxembourg
0034,lv.svg,Latvia
0035,mc.svg,Monaco
0036,md.svg,Moldova
0037,me.svg,Montenegro
0038,mk.svg,North Macedonia
0039,mt.svg,Malta
0040,nl.svg,Netherlands
0041,no.svg,Norway
0042,pl.svg,Poland
0043,pt.svg,Portugal
0044,ro.svg,Romania
0045,rs.svg,Serbia
0046,ru.svg,Russia
0047,se.svg,Sweden
0048,si.svg,Slovenia
0050,sk.svg,Slovakia
0051,sm.svg,San Marino
0052,ua.svg,Ukraine
0053,va.svg,Vatican City
0054,xk.svg,Kosovo
