external_id,front_image,back_text
0001,as.svg,American Samoa
0002,au.svg,Australia
0003,cc.svg,Cocos (Keeling) Islands
0004,ck.svg,Cook Islands
0005,cx.svg,Christmas Island
0006,fj.svg,Fiji
0007,fm.svg,Micronesia
0008,gu.svg,Guam
0009,hm.svg,Heard Island and McDonald Islands
0010,io.svg,British Indian Ocean Territory
0011,ki.svg,Kiribati
0012,mh.svg,Marshall Islands
0013,mp.svg,Northern Mariana Islands
0015,nf.svg,Norfolk Island
0016,nr.svg,Nauru
0017,nu.svg,Niue
0018,nz.svg,New Zealand
0019,pf.svg,French Polynesia
0020,pg.svg,Papua New Guinea
0021,pn.svg,Pitcairn Islands
0022,pw.svg,Palau
0023,sb.svg,Solomon Islands
0025,tk.svg,Tokelau
0026,to.svg,Tonga
0027,tv.svg,Tuvalu
0029,vu.svg,Vanuatu
0030,wf.svg,Wallis and Futuna
0031,ws.svg,Samoa
