external_id,front_text,back_text
0001,Algeria,Algiers
0002,Angola,Luanda
0003,Benin,"Porto-Novo, Cotonou"
0004,Botswana,Gaborone
0005,Burkina Faso,Ouagadougou
0006,Burundi,"Gitega, Bujumbura"
0007,Chad,N'Djamena
0008,Democratic Republic of the Congo,Kinshasa
0009,Djibouti,Djibouti
0010,Eritrea,Asmara
0011,Eswatini,"Mbabane, Lobamba"
0012,Ethiopia,Addis Ababa
0013,Gabon,Libreville
0014,Gambia,Banjul
0015,Ghana,Accra
0016,Guinea,Conakry
0017,Guinea-Bissau,Bissau
0018,Equatorial Guinea,Malabo
0019,Cameroon,Yaoundé
0020,Kenya,Nairobi
0021,Comoros,Moroni
0022,Republic of the Congo,Brazzaville
0023,Lesotho,Maseru
0024,Liberia,Monrovia
0025,Libya,Tripoli
0026,Madagascar,Antananarivo
0027,Malawi,Lilongwe
0028,Mali,Bamako
0029,Morocco,Rabat
0030,Mauritania,Nouakchott
0031,Mauritius,Port Louis
0032,Mozambique,Maputo
0033,Namibia,Windhoek
0034,Niger,Niamey
0035,Nigeria,Abuja
0036,South Africa,Pretoria
0037,Cape Verde,Praia
0038,Central African Republic,Bangui
0039,Rwanda,Kigali
0040,Senegal,Dakar
0041,Seychelles,Victoria
0042,Sierra Leone,Freetown
0043,Somalia,Mogadishu
0044,Sudan,Khartoum
0045,South Sudan,Juba
0046,Tanzania,"Dodoma, Dar es Salaam"
0047,Togo,Lomé
0048,Tunisia,Tunis
0049,Uganda,Kampala
0050,Ivory Coast,"Yamoussoukro, Abidjan"
0051,São Tomé and Príncipe,São Tomé
0052,Zambia,Lusaka
0053,Zimbabwe,Harare
0054,Egypt,Cairo
