external_id,front_text,back_text
0001,Antigua and Barbuda,Saint John’s
0002,Bahamas,Nassau
0003,Barbados,Bridgetown
0004,Belize,Belmopan
0005,Dominica,Roseau
0006,Dominican Republic,Santo Domingo
0007,Grenada,Saint George’s
0008,Guatemala,Guatemala City
0009,Haiti,Port-au-Prince
0010,Honduras,Tegucigalpa
0011,Jamaica,Kingston
0012,Canada,Ottawa
0013,Costa Rica,San José
0014,Cuba,Havana
0015,Mexico,Mexico City
0016,Nicaragua,Managua
0017,Panama,Panama City
0018,Saint Kitts and Nevis,Basseterre
0019,Saint Lucia,Castries
0020,Saint Vincent and the Grenadines,Kingstown
0021,El Salvador,San Salvador
0022,United States,"Washington, D.C."
0023,Argentina,Buenos Aires
0024,Bolivia,Sucre
0025,Brazil,Brasília
0026,Chile,Santiago
0027,Ecuador,Quito
0028,Guyana,Georgetown
0029,Colombia,Bogotá
0030,Paraguay,Asunción
0031,Peru,Lima
0032,Suriname,Paramaribo
0033,Trinidad and Tobago,Port of Spain
0034,Uruguay,Montevideo
0035,Venezuela,Caracas
