external_id,front_text,back_text
0001,Albania,Tirana
0002,Andorra,Andorra la Vella
0003,Austria,Vienna
0004,Belgium,Brussels
0005,Belarus,Minsk
0006,Bosnia and Herzegovina,Sarajevo
0007,Bulgaria,Sofia
0008,Croatia,Zagreb
0009,Montenegro,Podgorica
0010,Czechia,Prague
0011,Denmark,Copenhagen
0012,Estonia,Tallinn
0013,Finland,Helsinki
0014,France,Paris
0015,Greece,Athens
0016,Spain,Madrid
0017,Netherlands,"Amsterdam, The Hague"
0018,Ireland,Dublin
0019,Iceland,Reykjavík
0020,Kosovo,Pristina
0021,Liechtenstein,Vaduz
0022,Lithuania,Vilnius
0023,Luxembourg,Luxembourg
0024,North Macedonia,Skopje
0025,Malta,Valletta
0026,Monaco,Monaco
0027,Moldova,Chișinău
0028,Germany,Berlin
0029,Norway,Oslo
0030,Poland,Warsaw
0031,Portugal,Lisbon
0032,Romania,Bucharest
0033,San Marino,San Marino
0034,Serbia,Belgrade
0035,Switzerland,Bern
0036,Sweden,Stockholm
0037,Slovakia,Bratislava
0038,Slovenia,Ljubljana
0039,Ukraine,Kyiv
0040,Vatican City,Vatican City
0041,United Kingdom,London
0042,Hungary,Budapest
0043,Italy,Rome
0044,Latvia,Riga
0045,Russia,Moscow
0046,Kazakhstan,Astana
0047,Turkey,Ankara
