external_id,front_image,back_text
0001,ao.svg,Angola
0002,bf.svg,Burkina Faso
0003,bi.svg,Burundi
0004,bj.svg,Benin
0005,bw.svg,Botswana
0006,cd.svg,Demokratyczna Republika Konga
0007,cf.svg,Republika Środkowoafrykańska
0008,cg.svg,Republika Konga
0009,ci.svg,Wybrzeże Kości Słoniowej
0010,cm.svg,Kamerun
0011,cv.svg,Republika Zielonego Przylądka
0012,dj.svg,Dżibuti
0013,dz.svg,Algieria
0014,eg.svg,Egipt
0015,eh.svg,Sahara Zachodnia
0016,er.svg,Erytrea
0017,et.svg,Etiopia
0018,ga.svg,Gabon
0019,gh.svg,Ghana
0020,gm.svg,Gambia
0021,gn.svg,Gwinea
0022,gq.svg,Gwinea Równikowa
0023,gw.svg,Gwinea Bissau
0024,ke.svg,Kenia
0025,km.svg,Komory
0026,lr.svg,Liberia
0027,ls.svg,Lesotho
0028,ly.svg,Libia
0029,ma.svg,Maroko
0030,mg.svg,Madagaskar
0031,ml.svg,Mali
0032,mr.svg,Mauretania
0033,mu.svg,Mauritius
0034,mw.svg,Malawi
0035,mz.svg,Mozambik
0036,na.svg,Namibia
0037,ne.svg,Niger
0038,ng.svg,Nigeria
0040,rw.svg,Rwanda
0041,sc.svg,Seszele
0042,sd.svg,Sudan
0043,sl.svg,Sierra Leone
0044,sn.svg,Senegal
0045,so.svg,Somalia
0046,ss.svg,Sudan Południowy
0047,st.svg,Wyspy Świętego Tomasza i Książęca
0048,sz.svg,Eswatini
0049,td.svg,Czad
0050,tg.svg,Togo
0051,tn.svg,Tunezja
0052,tz.svg,Tanzania
0053,ug.svg,Uganda
0055,za.svg,Republika Południowej Afryki
0056,zm.svg,Zambia
0057,zw.svg,Zimbabwe
