external_id,front_image,back_text
0001,andromeda-outline.svg,Andromeda
0002,apus-outline.svg,Ptak Rajski
0003,aquarius-outline.svg,Wodnik
0004,aquila-outline.svg,Orzeł
0005,ara-outline.svg,Ołtarz
0006,aries-outline.svg,Baran
0007,auriga-outline.svg,Woźnica
0008,bootes-outline.svg,Wolarz
0009,caelum-outline.svg,Rylec
0010,camelopardalis-outline.svg,Żyrafa
0011,cancer-outline.svg,Rak
0012,canesvenatici-outline.svg,Psy Gończe
0013,canismajor-outline.svg,Wielki Pies
0014,canisminor-outline.svg,Mały Pies
0015,capricornus-outline.svg,Koziorożec
0016,carina-outline.svg,Kil
0017,cassiopeia-outline.svg,Kasjopeja
0018,centaurus-outline.svg,Centaur
0019,cepheus-outline.svg,Cefeusz
0020,cetus-outline.svg,Wieloryb
0021,chamaeleon-outline.svg,Kameleon
0022,circinus-outline.svg,Cyrkiel
0023,columba-outline.svg,Gołąb
0024,comaberenices-outline.svg,Warkocz Bereniki
0025,coronaaustralis-outline.svg,Korona Południowa
0026,coronaborealis-outline.svg,Korona Północna
0027,corvus-outline.svg,Kruk
0028,crater-outline.svg,Puchar
0029,crux-outline.svg,Krzyż Południa
0030,cygnus-outline.svg,Łabędź
0031,delphinus-outline.svg,Delfin
0032,dorado-outline.svg,Złota Ryba
0033,draco-outline.svg,Smok
0034,equuleus-outline.svg,Źrebię
0035,eridanus-outline.svg,Erydan
0036,fornax-outline.svg,Piec
0037,gemini-outline.svg,Bliźnięta
0038,grus-outline.svg,Żuraw
0039,hercules-outline.svg,Herkules
0040,horologium-outline.svg,Zegar
0041,hydra-outline.svg,Hydra
0042,hydrus-outline.svg,Wąż Wodny
0043,indus-outline.svg,Indianin
0044,lacerta-outline.svg,Jaszczurka
0045,leo-outline.svg,Lew
0046,leominor-outline.svg,Mały Lew
0047,lepus-outline.svg,Zając
0048,libra-outline.svg,Waga
0049,lupus-outline.svg,Wilk
0050,lynx-outline.svg,Ryś
0051,lyra-outline.svg,Lutnia
0052,mensa-outline.svg,Góra Stołowa
0053,microscopium-outline.svg,Mikroskop
0054,monoceros-outline.svg,Jednorożec
0055,musca-outline.svg,Mucha
0056,norma-outline.svg,Węgielnica
0057,octans-outline.svg,Oktant
0058,ophiuchus-outline.svg,Wężownik
0059,orion-outline.svg,Orion
0060,pavo-outline.svg,Paw
0061,pegasus-outline.svg,Pegaz
0062,perseus-outline.svg,Perseusz
0063,phoenix-outline.svg,Feniks
0064,pictor-outline.svg,Malarz
0065,pisces-outline.svg,Ryby
0066,piscis-austrinus-outline.svg,Ryba Południowa
0067,puppis-outline.svg,Rufa
0068,pyxis-outline.svg,Kompas
0069,reticulum-outline.svg,Sieć
0070,sagitta-outline.svg,Strzała
0071,sagittarius-outline.svg,Strzelec
0072,scorpius-outline.svg,Skorpion
0073,sculptor-outline.svg,Rzeźbiarz
0074,scutum-outline.svg,Tarcza
0075,serpenscaput-outline.svg,Wąż (Głowa)
0076,serpenscauda-outline.svg,Wąż (Ogon)
0077,sextans-outline.svg,Sekstant
0078,taurus-outline.svg,Byk
0079,telescopium-outline.svg,Teleskop
0080,triangulum-australe-outline.svg,Trójkąt Południowy
0081,triangulum-outline.svg,Trójkąt
0082,tucana-outline.svg,Tukan
0083,ursa-major-outline.svg,Wielka Niedźwiedzica
0084,ursa-minor-outline.svg,Mała Niedźwiedzica
0085,vela-outline.svg,Żagle
0086,virgo-outline.svg,Panna
0087,volans-outline.svg,Ryba Latająca
0088,vulpecula-outline.svg,Lisek
