front_text,back_text
Antigua i Barbuda,Saint John’s
Bahamy,Nassau
Barbados,Bridgetown
Belize,Belmopan
Dominika,Roseau
Dominikana,Santo Domingo
Grenada,Saint George’s
Gwatemala,Gwatemala
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Jamajka,Kingston
Kanada,Ottawa
Kostaryka,San José
Kuba,Hawana
Meksyk,Meksyk
Nikaragua,Managua
Panama,Panama
Saint Kitts i Nevis,Basseterre
Saint Lucia,Castries
Saint Vincent i Grenadyny,Kingstown
Salwador,San Salvador
Stany Zjednoczone,Waszyngton
Argentyna,Buenos Aires
Boliwia,Sucre
Brazylia,Brasília
Chile,Santiago
Ekwador,Quito
Gujana,Georgetown
Kolumbia,Bogota
Paragwaj,Asunción
Peru,Lima
Surinam,Paramaribo
Trynidad i Tobago,Port-of-Spain
Urugwaj,Montevideo
Wenezuela,Caracas
