front_text,back_text
Albania,Tirana
Andora,Andora
Austria,Wiedeń
Belgia,Bruksela
Białoruś,Mińsk
Bośnia i Hercegowina,Sarajewo
Bułgaria,Sofia
Chorwacja,Zagrzeb
Czarnogóra,Podgorica
Czechy,Praga
Dania,Kopenhaga
Estonia,Tallinn
Finlandia,Helsinki
Francja,Paryż
Grecja,Ateny
Hiszpania,Madryt
Holandia,Amsterdam / Haga
Irlandia,Dublin
Islandia,Reykjavík
Kosowo,Prisztina
Liechtenstein,Vaduz
Litwa,Wilno
Luksemburg,Luksemburg
Macedonia Północna,Skopje
Malta,Valletta
Monako,Monako
Mołdawia,Kiszyniów
Niemcy,Berlin
Norwegia,Oslo
Polska,Warszawa
Portugalia,Lizbona
Rumunia,Bukareszt
San Marino,San Marino
Serbia,Belgrad
Szwajcaria,Berno
Szwecja,Sztokholm
Słowacja,Bratysława
Słowenia,Lublana
Ukraina,Kijów
Watykan,Watykan
Wielka Brytania,Londyn
Węgry,Budapeszt
Włochy,Rzym
Łotwa,Ryga
Rosja,Moskwa
Kazachstan,Astana
Turcja,Ankara
