external_id,front_image,back_text
0001,ae.svg,Zjednoczone Emiraty Arabskie
0002,af.svg,Afganistan
0003,am.svg,Armenia
0004,az.svg,Azerbejdżan
0005,bd.svg,Bangladesz
0006,bh.svg,Bahrajn
0007,bn.svg,Brunei
0008,bt.svg,Bhutan
0009,cn.svg,Chiny
0010,ge.svg,Gruzja
0011,hk.svg,Hongkong
0012,id.svg,Indonezja
0013,il.svg,Izrael
0014,in.svg,Indie
0015,iq.svg,Irak
0016,ir.svg,Iran
0017,jo.svg,Jordania
0018,jp.svg,Japonia
0019,kg.svg,Kirgistan
0020,kh.svg,Kambodża
0021,kp.svg,Korea Północna
0022,kr.svg,Korea Południowa
0023,kw.svg,Kuwejt
0024,kz.svg,Kazachstan
0025,la.svg,Laos
0026,lb.svg,Liban
0027,lk.svg,Sri Lanka
0028,mm.svg,Mjanma
0029,mn.svg,Mongolia
0030,mo.svg,Makau
0031,mv.svg,Malediwy
0032,my.svg,Malezja
0033,np.svg,Nepal
0034,om.svg,Oman
0035,ph.svg,Filipiny
0036,pk.svg,Pakistan
0037,ps.svg,Palestyna
0038,qa.svg,Katar
0039,sa.svg,Arabia Saudyjska
0040,sg.svg,Singapur
0041,sy.svg,Syria
0042,th.svg,Tajlandia
0043,tj.svg,Tadżykistan
0044,tl.svg,Timor Wschodni
0045,tm.svg,Turkmenistan
0046,tr.svg,Turcja
0047,tw.svg,Tajwan
0048,uz.svg,Uzbekistan
0049,vn.svg,Wietnam
0050,ye.svg,Jemen
