external_id,front_image,back_text
0001,A/A-1.svg,zakręt w prawo
0002,A/A-2.svg,zakręt w lewo
0003,A/A-3.svg,seria zakrętów pierwszy w prawo
0004,A/A-4.svg,seria zakrętów pierwszy w lewo
0005,A/A-5.svg,skrzyżowanie równorzędne
0006,A/A-6a.svg,droga podporządkowana z obu stron
0007,A/A-6b.svg,droga podporządkowana z prawej
0008,A/A-6c.svg,droga podporządkowana z lewej
0009,A/A-6d.svg,wlot jednokierunkowej z prawej
0010,A/A-6e.svg,wlot jednokierunkowej z lewej
0011,A/A-7.svg,ustąp pierwszeństwa
0012,A/A-8.svg,rondo
0013,A/A-9.svg,przejazd kolejowy z zaporami
0014,A/A-10.svg,przejazd kolejowy bez zapór
0015,A/A-11.svg,nierówna droga
0016,A/A-11a.svg,próg zwalniający
0017,A/A-12a.svg,zwężenie z obu stron
0018,A/A-12b.svg,zwężenie z prawej
0019,A/A-12c.svg,zwężenie z lewej
0020,A/A-13.svg,ruchomy most
0021,A/A-14.svg,roboty drogowe
0022,A/A-15.svg,śliska droga
0023,A/A-16.svg,przejście dla pieszych
0024,A/A-17.svg,uwaga dzieci
0025,A/A-18a.svg,zwierzęta gospodarskie
0026,A/A-18b.svg,dzikie zwierzęta
0027,A/A-19.svg,boczny wiatr
0028,A/A-20.svg,ruch dwukierunkowy
0029,A/A-21.svg,tramwaj
0030,A/A-22.svg,stromy zjazd
0031,A/A-23.svg,stromy podjazd
0032,A/A-24.svg,rowerzyści
0033,A/A-25.svg,spadające kamienie
0034,A/A-26.svg,lotnisko
0035,A/A-27.svg,nabrzeże
0036,A/A-28.svg,sypki żwir
0037,A/A-29.svg,światła
0038,A/A-30.svg,inne niebezpieczeństwo
0039,A/A-31.svg,niebezpieczne pobocze
0040,A/A-32.svg,ślisko przez mróz
0041,A/A-33.svg,korek
0042,A/A-34.svg,wypadek
0043,B/B-1.svg,zakaz ruchu
0044,B/B-2.svg,zakaz wjazdu
0045,B/B-3.svg,zakaz aut
0046,B/B-3-4.svg,zakaz aut i motocykli
0047,B/B-3-4-10.svg,zakaz pojazdów silnikowych i motorowerów
0048,B/B-3a.svg,zakaz autobusów
0049,B/B-4.svg,zakaz motocykli
0050,B/B-5.svg,zakaz ciężarówek
0051,B/B-5-6t.svg,zakaz ciężarówek powyżej 6t
0052,B/B-6.svg,zakaz traktorów
0053,B/B-6-8.svg,zakaz traktorów i zaprzęgów
0054,B/B-6-8-9.svg,zakaz pojazdów niesamochodowych
0055,B/B-7.svg,zakaz pojazdów z przyczepą
0056,B/B-8.svg,zakaz pojazdów zaprzęgowych
0057,B/B-9.svg,zakaz rowerów
0058,B/B-9-12.svg,zakaz rowerów i wózków ręcznych
0059,B/B-10.svg,zakaz motorowerów
0060,B/B-11.svg,zakaz wózków rowerowych
0061,B/B-12.svg,zakaz wózków ręcznych
0062,B/B-13.svg,zakaz materiałów wybuchowych
0063,B/B-13-14.svg,zakaz materiałów niebezpiecznych i skażających wodę
0064,B/B-13a.svg,zakaz materiałów niebezpiecznych
0065,B/B-14.svg,zakaz materiałów skażających wodę
0066,B/B-17-6m.svg,zakaz pojazdów dłuższych niż 6m
0067,B/B-18-7t.svg,zakaz pojazdów cięższych niż 7t
0068,B/B-19-10t.svg,zakaz nacisku osi powyżej 10t
0069,B/B-20.svg,stop
0070,B/B-21.svg,zakaz skrętu w lewo
0071,B/B-22.svg,zakaz skrętu w prawo
0072,B/B-23.svg,zakaz zawracania
0074,B/B-25.svg,zakaz wyprzedzania
0075,B/B-26.svg,zakaz wyprzedzania ciężarówką
0078,B/B-29.svg,zakaz trąbienia
0080,B/B-31.svg,ustąp pojazdom z przeciwka
0081,B/B-32.svg,kontrola celna
0082,B/B-32a.svg,granica
0083,B/B-32b.svg,rogatka uszkodzona
0084,B/B-32c.svg,sygnalizacja uszkodzona
0085,B/B-32d.svg,prom
0086,B/B-32e.svg,kontrola drogowa
0087,B/B-32f.svg,opłata
